                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6782,                 1.3333,                0.57193,                 1.1098,                0.93636,                0.84974,                0.87819,                0.76786,                0.91196,                0.82739,                0.84425,                0.66904,                0.55687,                 1.0175,                0.46894,                0.91412,               0.008878,               0.008878,               0.008878
                     37,                0.67804,                 1.3226,                0.57249,                 1.1089,                0.93754,                0.85106,                0.88178,                0.77075,                0.91187,                0.83175,                0.84521,                0.67278,                0.54798,                 1.0124,                0.46461,                0.91141,               0.008845,               0.008845,               0.008845
                     38,                0.66968,                 1.3108,                0.55931,                 1.0989,                0.92697,                0.86007,                0.88307,                0.77279,                0.90619,                0.83646,                0.85017,                 0.6725,                0.54388,                 1.0043,                0.46009,                0.90757,               0.008812,               0.008812,               0.008812
                     39,                0.66783,                 1.3158,                0.56747,                 1.1033,                0.93809,                0.85482,                0.87646,                0.77189,                0.91666,                0.83467,                0.84956,                0.67546,                0.53992,                  1.001,                0.46128,                0.90616,               0.008779,               0.008779,               0.008779
                     40,                0.66778,                 1.3243,                0.56374,                 1.1011,                0.93727,                0.85508,                0.87826,                0.77399,                0.91473,                0.83403,                0.84866,                0.67552,                0.52901,                0.99091,                0.45393,                0.89841,               0.008746,               0.008746,               0.008746
                     41,                0.66486,                 1.3013,                0.55399,                 1.0962,                0.93385,                 0.8571,                 0.8837,                0.77798,                0.91319,                0.83972,                 0.8536,                0.68116,                0.52758,                0.98697,                0.45337,                0.89472,               0.008713,               0.008713,               0.008713
                     42,                0.65821,                 1.2712,                0.54843,                 1.0918,                0.93686,                0.85694,                0.88085,                0.77608,                0.91426,                0.84112,                0.85169,                0.67933,                0.53005,                0.97593,                0.45321,                0.90029,                0.00868,                0.00868,                0.00868
                     43,                0.65353,                 1.2643,                0.54179,                 1.0898,                0.93645,                0.85934,                0.88165,                0.77897,                0.91479,                 0.8418,                0.85183,                0.68045,                0.52206,                0.96791,                0.44361,                0.89278,               0.008647,               0.008647,               0.008647
                     44,                0.65637,                 1.2745,                0.54537,                 1.0939,                0.93056,                0.86163,                0.88536,                0.78095,                0.91123,                0.84234,                0.85534,                0.68465,                0.51859,                0.95881,                0.44354,                 0.8885,               0.008614,               0.008614,               0.008614
                     45,                 0.6602,                  1.285,                0.54955,                 1.0945,                0.93772,                0.85558,                0.88583,                0.78264,                0.91555,                0.83517,                0.85456,                0.68435,                0.51584,                0.95892,                0.43911,                0.88704,               0.008581,               0.008581,               0.008581
