                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.64448,                 1.2552,                0.53231,                 1.0176,                0.92615,                0.85754,                0.87713,                0.76463,                0.90552,                0.83508,                 0.8454,                0.67566,                0.56979,                0.99892,                0.47151,                0.86662,               0.007921,               0.007921,               0.007921
                     24,                0.64389,                 1.2666,                0.52891,                 1.0182,                0.93581,                0.85476,                0.88396,                0.76909,                0.91331,                0.83345,                 0.8507,                0.68075,                0.56464,                0.99973,                0.46197,                0.86862,               0.007822,               0.007822,               0.007822
                     25,                0.63194,                 1.2267,                0.52012,                   1.01,                0.93118,                0.85352,                0.87733,                0.76444,                0.91208,                0.83766,                0.85095,                0.67606,                0.57623,                0.99916,                0.46299,                0.87461,               0.007723,               0.007723,               0.007723
                     26,                0.62799,                 1.2293,                0.51756,                 1.0094,                0.93257,                0.86003,                0.88247,                0.77043,                0.91055,                0.83645,                0.85245,                0.68276,                0.55578,                0.97439,                0.44569,                0.86026,               0.007624,               0.007624,               0.007624
                     27,                0.62418,                 1.2289,                0.51389,                 1.0089,                0.93606,                0.85335,                0.88496,                0.77373,                0.90915,                0.82866,                0.84946,                0.67898,                0.55397,                0.97086,                0.44862,                0.86307,               0.007525,               0.007525,               0.007525
                     28,                0.61498,                 1.2062,                0.50278,                 1.0028,                0.94198,                0.84899,                0.88408,                 0.7787,                0.91671,                0.82584,                0.85027,                0.67969,                0.55348,                0.95789,                 0.4449,                0.87029,               0.007426,               0.007426,               0.007426
                     29,                0.60847,                 1.1827,                0.49777,                0.99876,                0.93909,                  0.859,                0.88715,                0.78269,                0.91228,                0.83611,                0.85263,                0.68761,                0.53299,                0.95507,                0.43046,                 0.8537,               0.007327,               0.007327,               0.007327
                     30,                0.60604,                 1.1776,                0.49781,                0.99902,                0.92869,                0.85739,                0.88563,                0.77907,                0.91348,                0.82873,                0.85183,                0.68914,                0.54117,                0.94597,                0.43907,                0.86162,               0.007228,               0.007228,               0.007228
                     31,                0.60206,                  1.169,                0.49274,                0.99603,                0.93268,                0.86378,                0.88596,                0.78273,                 0.9106,                 0.8433,                0.85626,                0.69125,                0.52313,                0.93016,                 0.4304,                 0.8478,               0.007129,               0.007129,               0.007129
                     32,                 0.5991,                 1.1612,                0.48852,                0.99553,                0.93258,                0.85947,                0.88835,                0.78719,                0.91091,                0.84384,                0.85675,                0.69205,                0.51647,                 0.9242,                0.42525,                0.84371,                0.00703,                0.00703,                0.00703
                     33,                0.59757,                  1.169,                0.48565,                0.99299,                0.93013,                0.86673,                 0.8876,                0.78732,                0.90473,                0.84719,                0.85679,                0.68951,                 0.5103,                0.91636,                0.41125,                0.83879,               0.006931,               0.006931,               0.006931
                     34,                 0.5943,                 1.1552,                0.48443,                0.98965,                0.94339,                0.85797,                0.88871,                0.78765,                0.92274,                0.84024,                0.86072,                0.69266,                 0.5084,                0.90489,                0.40988,                0.84001,               0.006832,               0.006832,               0.006832
                     35,                0.58571,                 1.1275,                0.47411,                0.98626,                0.93476,                0.86687,                0.88712,                0.79017,                 0.9098,                0.84229,                0.85358,                0.69341,                 0.5054,                0.90571,                0.40391,                0.83899,               0.006733,               0.006733,               0.006733
                     36,                0.58205,                 1.1336,                0.47454,                0.98868,                0.93958,                0.86345,                 0.8876,                0.78977,                0.91702,                0.84281,                0.85731,                0.69497,                0.50767,                0.89551,                0.40171,                0.84373,               0.006634,               0.006634,               0.006634
                     37,                0.58445,                  1.139,                0.47629,                0.98921,                 0.9409,                0.86422,                0.88977,                0.79357,                0.92051,                0.84157,                 0.8591,                 0.6982,                 0.4973,                0.89028,                0.40193,                 0.8369,               0.006535,               0.006535,               0.006535
                     38,                0.57464,                 1.1232,                0.46511,                0.98071,                0.94148,                0.86411,                0.88965,                 0.7931,                0.91856,                0.84316,                0.86018,                0.69844,                0.49155,                0.88442,                0.39049,                0.82856,               0.006436,               0.006436,               0.006436
                     39,                0.57207,                 1.1174,                0.46842,                 0.9832,                0.93695,                0.86828,                0.88683,                0.79213,                0.91462,                0.84702,                0.85903,                0.69965,                0.48444,                0.87453,                0.39518,                0.83033,               0.006337,               0.006337,               0.006337
                     40,                0.57048,                 1.1212,                0.46866,                0.98185,                0.93691,                0.87092,                0.88989,                0.79612,                0.91661,                0.85138,                0.86118,                0.70106,                0.48208,                 0.8663,                0.38883,                   0.83,               0.006238,               0.006238,               0.006238
                     41,                 0.5659,                 1.1097,                0.46032,                0.97754,                0.94423,                0.86967,                0.88897,                0.79728,                0.92553,                0.85147,                0.86204,                 0.7027,                0.47928,                0.86503,                0.38573,                0.82845,               0.006139,               0.006139,               0.006139
                     42,                0.56052,                 1.0821,                0.45466,                0.97324,                0.94184,                0.86877,                0.89128,                0.80268,                0.92466,                0.84791,                0.86233,                0.70606,                0.46766,                 0.8601,                0.38568,                0.82206,                0.00604,                0.00604,                0.00604
                     43,                0.55622,                 1.0721,                0.44617,                0.97397,                0.93285,                0.86785,                0.89053,                0.80366,                0.91275,                0.85145,                0.86103,                0.70622,                0.46554,                0.85318,                0.38291,                0.81905,               0.005941,               0.005941,               0.005941
                     44,                0.56205,                 1.0826,                0.45446,                 0.9781,                 0.9444,                0.86667,                0.89308,                0.80366,                 0.9219,                0.84822,                0.86301,                0.70719,                0.46272,                0.84077,                0.37829,                0.81493,               0.005842,               0.005842,               0.005842
                     45,                0.55603,                 1.0865,                0.45443,                0.97138,                0.93903,                0.87156,                0.89559,                0.80716,                0.91733,                0.85028,                0.86505,                 0.7102,                0.45792,                0.83926,                0.37115,                0.80928,               0.005743,               0.005743,               0.005743
                     46,                 0.5458,                 1.0532,                0.44237,                0.96513,                 0.9419,                0.87372,                0.89581,                0.80727,                0.91815,                0.85388,                0.86383,                0.70953,                 0.4517,                0.83481,                0.36867,                0.80817,               0.005644,               0.005644,               0.005644
                     47,                0.54615,                 1.0627,                0.43943,                0.96908,                0.93891,                0.87541,                0.89598,                0.80719,                0.91599,                0.85201,                0.86247,                 0.7092,                0.45062,                 0.8297,                 0.3704,                0.80964,               0.005545,               0.005545,               0.005545
                     48,                0.53953,                 1.0524,                0.43395,                0.96333,                0.94325,                0.87235,                0.89594,                0.80928,                0.92118,                0.85008,                0.86318,                0.71103,                0.44756,                0.82654,                0.36761,                0.80752,               0.005446,               0.005446,               0.005446
                     49,                0.53138,                  1.036,                0.43003,                 0.9621,                0.94105,                0.87837,                0.89686,                0.81047,                0.91809,                0.85635,                 0.8646,                0.71376,                0.44389,                0.82175,                0.36321,                0.80649,               0.005347,               0.005347,               0.005347
                     50,                0.53476,                 1.0471,                 0.4307,                0.96333,                0.93882,                 0.8777,                0.89548,                0.81138,                0.91501,                0.85547,                0.86306,                0.71338,                0.44273,                0.82406,                0.36391,                0.80472,               0.005248,               0.005248,               0.005248
                     51,                0.52935,                 1.0354,                0.42661,                0.96153,                0.93955,                0.87775,                0.89576,                0.81289,                0.91728,                0.85608,                0.86512,                0.71441,                0.43797,                0.81848,                0.35674,                 0.8003,               0.005149,               0.005149,               0.005149
                     52,                0.53373,                 1.0421,                0.43196,                 0.9644,                0.93755,                0.88149,                0.89642,                0.81429,                0.91451,                0.85932,                0.86638,                0.71501,                0.43395,                0.81736,                0.35628,                0.79798,                0.00505,                0.00505,                0.00505
                     53,                0.53168,                 1.0357,                0.42691,                0.96195,                0.93844,                0.88255,                 0.8959,                0.81553,                0.91643,                0.86146,                0.86729,                0.71641,                0.43071,                0.81339,                0.35658,                0.79769,               0.004951,               0.004951,               0.004951
                     54,                0.52837,                 1.0272,                0.42378,                0.95983,                0.93678,                0.88246,                0.89631,                0.81566,                0.91457,                 0.8612,                0.86722,                  0.714,                0.42579,                0.80578,                0.35189,                0.79353,               0.004852,               0.004852,               0.004852
                     55,                0.52035,                  1.017,                0.42105,                0.95555,                0.93607,                0.87905,                0.89718,                0.81762,                0.91441,                 0.8578,                0.86789,                0.71716,                0.42358,                0.80105,                0.35034,                0.79212,               0.004753,               0.004753,               0.004753
                     56,                0.51579,                 1.0105,                0.42056,                0.95382,                0.93831,                0.87587,                0.89702,                0.81734,                0.91963,                0.85513,                0.86847,                0.71785,                0.42156,                0.79732,                 0.3486,                0.79074,               0.004654,               0.004654,               0.004654
                     57,                0.51666,                 1.0025,                0.41419,                0.95229,                  0.936,                0.87839,                0.89764,                0.81775,                0.91405,                0.85783,                0.86789,                0.71646,                0.41886,                0.79648,                0.34606,                0.78894,               0.004555,               0.004555,               0.004555
                     58,                0.50906,                0.99277,                 0.4099,                0.95364,                0.93866,                0.87718,                0.89799,                0.81905,                0.91715,                0.85564,                0.86803,                0.71855,                0.41679,                0.79373,                0.34544,                0.78793,               0.004456,               0.004456,               0.004456
                     59,                0.50385,                0.97654,                0.40212,                0.95078,                0.94308,                0.87595,                0.89897,                0.82087,                0.92118,                0.85454,                0.86977,                0.71901,                0.41514,                0.79057,                0.34357,                0.78772,               0.004357,               0.004357,               0.004357
                     60,                0.50875,                0.98014,                0.40679,                0.95151,                0.94067,                0.87785,                0.89898,                0.82123,                0.91915,                0.85637,                 0.8697,                0.71838,                0.41231,                0.78726,                0.33945,                0.78614,               0.004258,               0.004258,               0.004258
                     61,                0.50452,                0.98233,                0.40557,                0.95025,                0.94129,                0.87666,                0.89873,                0.82245,                0.91961,                0.85562,                0.87015,                0.71891,                0.41111,                0.78481,                0.33822,                0.78582,               0.004159,               0.004159,               0.004159
                     62,                0.50019,                0.97323,                0.39859,                0.94735,                0.93793,                0.88039,                0.89945,                0.82289,                0.91689,                0.85853,                  0.871,                0.71952,                0.40953,                0.78235,                0.33746,                0.78524,                0.00406,                0.00406,                0.00406
                     63,                 0.4959,                0.97088,                0.39682,                0.94657,                0.94145,                0.87729,                0.89921,                0.82387,                0.91977,                0.85592,                0.87096,                0.71979,                  0.409,                0.78078,                0.33701,                 0.7853,               0.003961,               0.003961,               0.003961
                     64,                0.49562,                0.96442,                0.40059,                0.94505,                0.94049,                0.87657,                0.89946,                  0.824,                0.91839,                0.85282,                0.86993,                0.72045,                0.40825,                0.77881,                0.33698,                0.78587,               0.003862,               0.003862,               0.003862
                     65,                0.48683,                0.95028,                 0.3941,                0.94192,                0.94115,                0.87863,                0.90074,                0.82433,                0.91885,                 0.8572,                0.87125,                0.72109,                0.40743,                0.77771,                 0.3358,                0.78556,               0.003763,               0.003763,               0.003763
                     66,                0.48623,                0.95115,                0.38973,                0.93976,                0.93805,                0.88301,                0.90078,                0.82522,                0.91421,                 0.8597,                0.87015,                0.72201,                0.40571,                0.77575,                0.33349,                0.78468,               0.003664,               0.003664,               0.003664
                     67,                0.48283,                0.93052,                 0.3838,                0.93511,                0.93847,                0.88431,                0.90091,                0.82605,                0.91491,                0.86105,                0.87072,                 0.7228,                0.40432,                0.77364,                0.33226,                0.78337,               0.003565,               0.003565,               0.003565
                     68,                0.48321,                0.93738,                0.38823,                0.93801,                0.94003,                0.88286,                0.90149,                0.82666,                0.91397,                0.86076,                0.86975,                0.72413,                0.40225,                0.77255,                0.33125,                  0.782,               0.003466,               0.003466,               0.003466
                     69,                0.48081,                 0.9378,                0.38603,                0.93699,                0.93891,                0.88336,                0.90229,                0.82795,                0.91438,                0.85926,                0.86926,                0.72416,                0.40011,                0.77199,                 0.3316,                0.78085,               0.003367,               0.003367,               0.003367
                     70,                0.47622,                 0.9298,                0.38423,                0.93654,                0.93882,                0.88396,                 0.9031,                0.82873,                0.91345,                0.85897,                0.86872,                0.72418,                0.39787,                  0.771,                0.32974,                0.78012,               0.003268,               0.003268,               0.003268
                     71,                0.47419,                0.92442,                0.37935,                0.93768,                0.93751,                0.88415,                0.90279,                0.82881,                0.91095,                0.86188,                0.86888,                0.72442,                0.39644,                0.77059,                0.32768,                0.77912,               0.003169,               0.003169,               0.003169
                     72,                0.47095,                0.91718,                0.37336,                0.93569,                0.93939,                0.88359,                0.90291,                0.82913,                0.91394,                0.85946,                0.86933,                0.72459,                0.39527,                0.76934,                 0.3266,                0.77886,                0.00307,                0.00307,                0.00307
                     73,                0.46471,                0.90638,                0.36863,                0.93002,                0.94188,                0.88368,                 0.9031,                0.83001,                 0.9159,                0.85939,                0.86873,                0.72476,                0.39444,                0.76831,                0.32616,                0.77844,               0.002971,               0.002971,               0.002971
                     74,                0.46786,                0.91073,                0.37176,                 0.9333,                0.94222,                0.88446,                0.90354,                0.83021,                0.91263,                0.86358,                0.86967,                0.72577,                  0.393,                0.76638,                0.32487,                0.77748,               0.002872,               0.002872,               0.002872
                     75,                0.45897,                0.89287,                0.36544,                0.92837,                0.94166,                0.88317,                0.90327,                0.83002,                0.91289,                0.86347,                0.87011,                 0.7259,                0.39209,                0.76545,                0.32422,                0.77707,               0.002773,               0.002773,               0.002773
                     76,                 0.4579,                0.88553,                0.36657,                0.92779,                0.94169,                0.88301,                0.90331,                0.83013,                0.91221,                 0.8633,                0.87056,                0.72629,                0.39114,                0.76301,                0.32352,                0.77672,               0.002674,               0.002674,               0.002674
                     77,                0.45719,                0.89509,                0.36321,                0.92671,                0.94321,                0.88123,                0.90313,                0.83109,                0.91131,                0.86332,                0.87061,                0.72659,                0.39015,                0.76248,                0.32238,                0.77637,               0.002575,               0.002575,               0.002575
                     78,                0.45375,                0.89847,                 0.3633,                0.92641,                0.94396,                0.88179,                0.90363,                0.83133,                0.91642,                0.86099,                0.87058,                0.72647,                0.38901,                0.76201,                0.32191,                0.77605,               0.002476,               0.002476,               0.002476
                     79,                0.44713,                0.88054,                0.35747,                0.92231,                0.94343,                0.88225,                0.90392,                0.83157,                0.91814,                0.85808,                0.87093,                0.72673,                0.38782,                0.76031,                0.32131,                 0.7755,               0.002377,               0.002377,               0.002377
                     80,                0.44432,                 0.8775,                0.35519,                0.92167,                0.94469,                0.88136,                0.90391,                0.83173,                0.91888,                0.85886,                0.87129,                0.72657,                0.38627,                0.75958,                0.32051,                0.77461,               0.002278,               0.002278,               0.002278
                     81,                  0.441,                0.86868,                   0.35,                0.91913,                0.94378,                0.88197,                0.90401,                0.83262,                0.91892,                0.85917,                0.87154,                0.72719,                 0.3855,                0.75862,                0.31956,                0.77421,               0.002179,               0.002179,               0.002179
                     82,                0.43973,                0.86048,                0.34754,                0.92009,                 0.9426,                0.88282,                0.90424,                  0.833,                0.91759,                0.85918,                0.87168,                0.72729,                0.38451,                0.75768,                0.31834,                0.77394,                0.00208,                0.00208,                0.00208
                     83,                0.43192,                0.85592,                0.34571,                0.91886,                0.94308,                0.88282,                0.90449,                0.83347,                 0.9175,                0.86033,                0.87209,                0.72789,                0.38388,                0.75677,                0.31754,                0.77367,               0.001981,               0.001981,               0.001981
                     84,                0.43489,                0.86201,                0.34737,                0.92022,                0.94596,                0.88014,                0.90436,                0.83343,                 0.9149,                0.86064,                0.87177,                0.72795,                0.38344,                0.75619,                0.31712,                0.77358,               0.001882,               0.001882,               0.001882
                     85,                0.43035,                0.85617,                0.34735,                0.91684,                0.94533,                 0.8803,                0.90387,                0.83364,                 0.9182,                0.85944,                 0.8726,                0.72791,                0.38276,                0.75554,                0.31677,                0.77346,               0.001783,               0.001783,               0.001783
                     86,                0.43277,                0.85762,                0.34491,                0.91847,                 0.9451,                0.87982,                0.90395,                0.83406,                0.92111,                0.85705,                0.87276,                0.72809,                0.38175,                0.75537,                0.31628,                0.77292,               0.001684,               0.001684,               0.001684
                     87,                0.42543,                 0.8285,                0.33874,                0.91559,                0.94536,                0.88121,                0.90441,                 0.8342,                0.91502,                0.86199,                0.87296,                0.72853,                0.38115,                0.75443,                0.31502,                0.77249,               0.001585,               0.001585,               0.001585
                     88,                0.42445,                 0.8498,                  0.341,                0.91342,                0.94204,                0.88329,                0.90487,                0.83463,                0.91547,                 0.8622,                0.87287,                0.72872,                0.38052,                0.75333,                0.31414,                0.77241,               0.001486,               0.001486,               0.001486
                     89,                0.42328,                0.83321,                0.33693,                0.91319,                0.94474,                0.88125,                0.90487,                0.83499,                0.92004,                0.85778,                0.87291,                0.72878,                0.37995,                0.75256,                 0.3138,                 0.7721,               0.001387,               0.001387,               0.001387
                     90,                0.41664,                0.83225,                0.33295,                0.91233,                0.94285,                0.88328,                0.90501,                0.83532,                0.91654,                 0.8598,                0.87256,                0.72863,                0.37952,                0.75168,                0.31349,                0.77202,               0.001288,               0.001288,               0.001288
                     91,                0.36972,                0.75326,                0.31038,                0.88628,                0.94252,                0.88342,                0.90467,                0.83525,                  0.918,                0.85941,                0.87284,                0.72916,                0.37861,                0.74979,                0.31273,                0.77173,               0.001189,               0.001189,               0.001189
                     92,                0.36183,                0.73564,                0.29991,                0.87992,                 0.9434,                 0.8823,                0.90502,                0.83587,                0.91883,                 0.8577,                0.87297,                0.72942,                0.37756,                0.74892,                0.31173,                0.77132,                0.00109,                0.00109,                0.00109
                     93,                0.34994,                  0.721,                0.29492,                0.87657,                0.94109,                0.88371,                 0.9051,                 0.8364,                0.91597,                0.85935,                0.87252,                 0.7291,                0.37637,                0.74796,                0.31082,                0.77099,               0.000991,               0.000991,               0.000991
                     94,                0.34598,                0.70888,                0.28841,                0.87493,                0.94192,                 0.8837,                0.90518,                0.83646,                0.91661,                0.85921,                0.87259,                0.72868,                0.37555,                0.74665,                0.31024,                0.77061,               0.000892,               0.000892,               0.000892
                     95,                0.34217,                0.70076,                0.28632,                0.87322,                0.94239,                0.88371,                0.90506,                 0.8367,                0.91686,                0.85922,                0.87262,                0.72951,                0.37477,                0.74579,                0.30949,                0.77022,               0.000793,               0.000793,               0.000793
                     96,                0.33769,                0.70472,                0.28294,                0.87474,                 0.9434,                0.88366,                0.90513,                0.83686,                0.91787,                0.85919,                 0.8728,                0.72974,                 0.3738,                0.74481,                 0.3089,                0.76979,               0.000694,               0.000694,               0.000694
                     97,                0.33235,                 0.6958,                0.27836,                0.86944,                0.94225,                0.88342,                0.90526,                0.83731,                0.91673,                0.85856,                0.87281,                0.72946,                0.37264,                0.74388,                0.30838,                0.76919,               0.000595,               0.000595,               0.000595
                     98,                0.32924,                0.68667,                0.27621,                0.86635,                0.94279,                0.88335,                0.90537,                0.83714,                0.91662,                0.85807,                0.87278,                0.73006,                0.37209,                0.74285,                0.30765,                0.76896,               0.000496,               0.000496,               0.000496
                     99,                0.32596,                0.68446,                0.27391,                0.86802,                0.94288,                0.88321,                0.90572,                0.83708,                0.91656,                0.85791,                0.87325,                 0.7299,                0.37142,                0.74275,                0.30702,                 0.7688,               0.000397,               0.000397,               0.000397
                    100,                0.32201,                0.68031,                0.26906,                0.86882,                0.94343,                0.88316,                0.90584,                0.83766,                 0.9174,                0.85812,                0.87333,                 0.7311,                0.37076,                0.74211,                0.30617,                0.76847,               0.000298,               0.000298,               0.000298
